Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Proposed Completion Date,iso,outcome,Status,Withdrawn Date,Actual Completion Date,Withdrawal Comment,queue_date,queue_year,capacity_mw,resolved
22,MONTEZUMA (HIGH WINDS III),,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,38.0,,,2003-11-18 08:00:00,2024-04-01 07:00:00,CAISO,active,ACTIVE,,,,2003-11-18 08:00:00+00:00,2003.0,38.0,False
32,TULE WIND,,SAN DIEGO,CA,Boulevard East Substation 138 kV,SDGE,Wind Turbine + Storage,193.8,,,2004-05-24 07:00:00,2030-10-31 07:00:00,CAISO,active,ACTIVE,,,,2004-05-24 07:00:00+00:00,2004.0,193.8,False
54,MIDWAY PEAKING,,FRESNO,CA,Panoche Substation,PGAE,Gas Turbine + Storage,119.9,,,2005-01-12 08:00:00,2027-06-30 07:00:00,CAISO,active,ACTIVE,,,,2005-01-12 08:00:00+00:00,2005.0,119.9,False
61,FRESNO COGENERATION EXPANSION PROJECT,,FRESNO,CA,Helm-Kerman 70 kV Line,PGAE,Steam Turbine + Storage,73.27,,,2005-03-30 08:00:00,2023-02-28 08:00:00,CAISO,active,ACTIVE,,,,2005-03-30 08:00:00+00:00,2005.0,73.27,False
72,BLUEWATER RENEWABLE ENERGY STORAGE,,RIVERSIDE,CA,Proposed Lee Lake Substation 500 kV,SDGE,Storage,500.0,,,2005-06-21 07:00:00,2028-12-31 08:00:00,CAISO,active,ACTIVE,,,,2005-06-21 07:00:00+00:00,2005.0,500.0,False
81,BOTTLE ROCK POWER,,LAKE,CA,Geysers #17-Fulton 230 kV Line,PGAE,Steam Turbine + Storage,52.01,,,2005-09-13 07:00:00,2027-11-30 08:00:00,CAISO,active,ACTIVE,,,,2005-09-13 07:00:00+00:00,2005.0,52.01,False
96,CPC WEST,,KERN,CA,Tehachapi Conceptual Substation #1,SCE,Wind Turbine + Storage + Storage,600.0,,,2006-03-01 08:00:00,2026-07-05 07:00:00,CAISO,active,ACTIVE,,,,2006-03-01 08:00:00+00:00,2006.0,600.0,False
100,WINDSTAR I ALTERNATE,,KERN,CA,Vincent Substation 230kV,SCE,Wind Turbine + Storage,120.0,,,2006-04-05 07:00:00,2030-10-15 07:00:00,CAISO,active,ACTIVE,,,,2006-04-05 07:00:00+00:00,2006.0,120.0,False
124,SILVER RIDGE MOUNT SIGNAL,,IMPERIAL,CA,Imperial Valley Substation 230 kV,SDGE,Photovoltaic + Storage,600.0,,,2006-08-22 07:00:00,2027-06-01 07:00:00,CAISO,active,ACTIVE,,,,2006-08-22 07:00:00+00:00,2006.0,600.0,False
138,SANDSTORM WIND POWER ,,RIVERSIDE,CA,Devers Substation 220 kV ,SCE,Wind Turbine + Storage,150.0,,,2006-10-23 07:00:00,2030-02-01 08:00:00,CAISO,active,ACTIVE,,,,2006-10-23 07:00:00+00:00,2006.0,150.0,False
222,MONTEZUMA II,,SOLANO,CA,Birds Landing 230 kV,PGAE,Wind Turbine + Storage,78.0,,,2007-05-23 07:00:00,2012-01-29 08:00:00,CAISO,active,ACTIVE,,,,2007-05-23 07:00:00+00:00,2007.0,78.0,False
268,TRACY COMBINED-CYCLE POWER PLANT,,SAN JOAQUIN,CA,Tesla-Manteca 115kV line via Schulte Switchyard,PGAE,Steam Turbine + Storage,145.0,,,2007-10-24 07:00:00,2027-04-28 07:00:00,CAISO,active,ACTIVE,,,,2007-10-24 07:00:00+00:00,2007.0,145.0,False
272,AMERICAN KINGS SOLAR,,KINGS,CA,Henrietta 70 kV,PGAE,Photovoltaic + Storage,123.0,,,2007-11-01 07:00:00,2025-12-30 08:00:00,CAISO,active,ACTIVE,,,,2007-11-01 07:00:00+00:00,2007.0,123.0,False
297,ALTA VISTA SUNTOWER GENERATING STATION,,LOS ANGELES,CA,Neenach-Bailey 66kV line,SCE,Steam Turbine + Storage,66.0,,,2008-01-18 08:00:00,2027-12-11 08:00:00,CAISO,active,ACTIVE,,,,2008-01-18 08:00:00+00:00,2008.0,66.0,False
356,CUYAMA SOLAR,,SAN LUIS OBISPO,CA,Taft-Cuyama #1 70kV line,PGAE,Photovoltaic + Storage,40.0,,,2008-04-28 07:00:00,2028-02-20 08:00:00,CAISO,active,ACTIVE,,,,2008-04-28 07:00:00+00:00,2008.0,40.0,False
378,LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,,SANTA CLARA,CA,Los Esteros 115 kV,PGAE,Combined Cycle + Storage,120.0,,,2008-05-28 07:00:00,2023-09-01 07:00:00,CAISO,active,ACTIVE,,,,2008-05-28 07:00:00+00:00,2008.0,120.0,False
493,OCOTILLO EXPRESS,,IMPERIAL,CA,Ocotillo Switchyard 500 kV ,SDGE,Wind Turbine + Storage,265.44,,,2009-07-31 07:00:00,2030-05-31 07:00:00,CAISO,active,ACTIVE,,,,2009-07-31 07:00:00+00:00,2009.0,265.44,False
506,ROSAMOND WEST SOLAR,,KERN,CA,Whirlwind Substation 230kV,SCE,Photovoltaic + Storage,299.6,,,2009-07-31 07:00:00,2029-03-31 07:00:00,CAISO,active,ACTIVE,,,,2009-07-31 07:00:00+00:00,2009.0,299.6,False
539,CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),,STANISLAUS,CA,Salado-Newman #1 60kV Line,PGAE,Photovoltaic + Storage,20.0,,,2009-12-18 08:00:00,2025-04-01 07:00:00,CAISO,active,ACTIVE,,,,2009-12-18 08:00:00+00:00,2009.0,20.0,False
606,TRACY - ADDITIONAL CAPACITY,,SAN JOAQUIN,CA,Schulte Switching Station 115kV bus,PGAE,Combined Cycle,20.0,,,2010-02-01 08:00:00,2012-05-31 07:00:00,CAISO,active,ACTIVE,,,,2010-02-01 08:00:00+00:00,2010.0,20.0,False
625,KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),,KINGS,CA,Henrietta-Tulare Lake 70 kV,PGAE,Photovoltaic + Storage,20.0,,,2010-05-14 07:00:00,2025-04-01 07:00:00,CAISO,active,ACTIVE,,,,2010-05-14 07:00:00+00:00,2010.0,20.0,False
643R,NORTH ROSAMOND SOLAR,,KERN,CA,Whirlwind Sub 230 kV Bus,SCE,Photovoltaic + Storage,153.0,,,2010-07-31 07:00:00,2026-06-01 07:00:00,CAISO,active,ACTIVE,,,,2010-07-31 07:00:00+00:00,2010.0,153.0,False
653B,PUMPJACK SOLAR I (AKA PIONEER SOLAR I),,KERN,CA,Belridge - Temblor 115 kV,PGAE,Photovoltaic + Storage,20.0,,,2010-09-29 07:00:00,2027-06-01 07:00:00,CAISO,active,ACTIVE,,,,2010-09-29 07:00:00+00:00,2010.0,20.0,False
678,EXCELSIOR SOLAR (FKA: BURFORD FIVE POINTS),,FRESNO,CA,Panoche-Schindler #1 and #2 115 kV Line,PGAE,Photovoltaic + Storage,60.0,,,2011-03-31 07:00:00,2024-12-20 08:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,60.0,False
720,LASSEN LODGE HYDROELECTRIC,,TEHAMA,CA,Vota-South 60 kV,PGAE,Hydro,4.5,,,2011-03-31 07:00:00,2027-10-15 07:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,4.5,False
744,REDWOOD SOLAR FARM,,KERN,CA,Lamont 115 KV,PGAE,Photovoltaic,90.0,,,2011-03-31 07:00:00,2024-07-01 07:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,90.0,False
768,BIG SKY SOLAR,,LOS ANGELES,CA,Antelope Substation 230kV bus,SCE,Photovoltaic + Storage,320.0,,,2011-03-31 07:00:00,2029-01-01 08:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,320.0,False
779,WRIGHT SOLAR,,MERCED,CA,Los Banos-Panoche #1 230kV Line,PGAE,Photovoltaic + Storage,200.0,,,2011-03-31 07:00:00,2026-10-21 07:00:00,CAISO,active,ACTIVE,,,,2011-03-31 07:00:00+00:00,2011.0,200.0,False
