Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Updated,Unit,Op Date,Sync Date,Serv,I39,Dev,Zone,System Impact Study Completed,Feasiblity Study Status,System Impact Study Status,Optional Interconnection Study Status,Facilities Study Status,Interconnection Agreement Status,Project Status
1601,BESS,,Essex,MA,NGRID KING ST T3,,BAT,4.99,4.99,4.99,1/14/2025,Withdrawn,2/3/2027,6/13/2025,,,6/16/2025,OT,2/3/2027,2/3/2027,,N,,BOST,N,,,,,,
1600,Chazy Lake BESS (NYISO-C24-308),,Clinton,NY,NYISO Patnode 230 kV,,BAT,50.0,50.0,50.0,12/12/2024,Withdrawn,8/1/2028,3/14/2025,,,3/14/2025,OT,8/1/2028,8/1/2028,CNR,N,,,N,,,,,,
1599,Dover NY BESS (NYISO-C24-316),,Dutchess,NY,NYISO Pleasant Valley-Cricket Valley 345 kV,,BAT,1000.0,1000.0,1000.0,12/12/2024,Withdrawn,5/1/2028,6/26/2025,,,6/26/2025,OT,5/1/2028,5/1/2028,CNR,N,,,N,,,,,,
1598,Zenobe Rotterdam LLC (NYISO-C24-191),,Schenectady,NY,NYISO Rotterdam 115 kV,,BAT,100.0,100.0,100.0,12/12/2024,Withdrawn,6/1/2028,12/5/2025,,,12/8/2025,OT,6/1/2028,6/1/2028,CNR,N,,,N,,,,,,
1597,New Scotland BESS (NYISO-C24-045),,Albany,NY,NYISO New Scotland 345 kV,,BAT,1350.0,1350.0,1350.0,12/12/2024,Withdrawn,9/1/2027,6/26/2025,,,6/26/2025,OT,9/1/2027,9/1/2027,CNR,N,,,N,,,,,,
1596,NY Chateaugay 0 Willis Rd Storage (NYISO-C24-304-004),,Franklin,NY,NYISO Willis 230 kV Substation,,BAT,150.0,150.0,150.0,12/12/2024,Active,2/1/2028,,,,1/10/2025,OT,2/1/2028,2/1/2028,CNR,N,,,N,,,,,,
1595,Willard Storage (NYISO-C24-148),,Rensselaer,NY,NYISO Eastover 115 kV,,BAT,300.0,300.0,300.0,12/12/2024,Active,10/1/2028,,,,1/10/2025,OT,10/1/2028,10/1/2028,CNR,N,,,N,,,,,,
1594,Woonsocket Substation – Tifft ST BESS,,Providence,RI,"RIE feeder 26W7, Woonsocket Substation",,BAT,4.5,4.5,4.5,11/15/2024,Withdrawn,12/31/2026,6/13/2025,,,6/16/2025,OT,12/31/2026,12/31/2026,,N,,RI,N,,,,,,
1593,Point St Substation – Aldrich St BESS,,Providence,RI,"RIE feeder 76F6, Point St Substation",,BAT,3.0,3.0,3.0,11/15/2024,Withdrawn,12/31/2026,6/13/2025,,,6/16/2025,OT,12/31/2026,12/31/2026,,N,,RI,N,,,,,,
1592,SHELD BESS,,Hampden,MA,South Hadley Electric Light Department 13.8KV,,BAT,3.0,3.0,3.0,8/21/2024,Withdrawn,9/1/2025,6/13/2025,,,6/16/2025,OT,9/1/2025,9/1/2025,,N,PD,WMA,N,,,,,,
1591,Chase Hill Substation - Western RI DER Study #3,,Washington,RI,"RIE Feeder 155F2, Chase Hill Substation",,SUN,2.375,2.375,2.375,8/19/2024,Withdrawn,12/1/2026,6/13/2025,,,6/16/2025,PV,12/31/2026,12/1/2026,,N,PD,RI,N,,,,,,
1590,Tower Hill Substation - Western RI DER Study #3,,Washington,RI,"RIE Feeder 88F7, Tower Hill Substation",,SUN,3.06,3.06,3.06,8/19/2024,Withdrawn,12/1/2026,6/13/2025,,,6/16/2025,PV,12/31/2026,12/1/2026,,N,PD,RI,N,,,,,,
1589,Kent County Substation - Western RI DER Study #3,,Kent,RI,"RIE feeder 3309 and 3311, Kent County Substation",,SUN,21.748,21.748,21.748,8/19/2024,Withdrawn,12/1/2026,6/13/2025,,,6/16/2025,PV,12/31/2026,12/1/2026,,N,PD,RI,N,,,,,,
1588,Wood River Substation - Western RI DER Study #3,,Washington,RI,"RIE feeder 85T2 and 85T3, Wood River Substation",,SUN,49.0,49.0,49.0,8/19/2024,Withdrawn,12/1/2026,6/13/2025,,,6/16/2025,PV,12/31/2026,12/1/2026,,N,PD,RI,N,,,,,,
1587,Battery Storage,,Worcester,MA,West Boylston Denton Lovell Substation T2 Transformer fed from the P142W. Distribution Feeder -F23 Hartwell Feeder,,BAT,3.0,3.0,3.0,8/15/2024,Withdrawn,9/15/2025,6/13/2025,,,6/16/2025,OT,10/15/2025,9/15/2025,,N,PD,CMA,N,,,,,,
1586,Battery Storage,,Chittenden,VT,Global Foundries 13.8 kV bus,,BAT,16.0,16.0,16.0,8/14/2024,Withdrawn,3/1/2026,6/13/2025,,,6/16/2025,OT,4/1/2026,3/1/2026,,N,PD,VT,N,,,,,,
1585,HGE Group Study,,Hampden,MA,Holyoke 52W via 52W6 Circuit or New Circuit,,BAT,12.98,12.98,12.98,8/13/2024,Withdrawn,3/1/2025,6/13/2025,,,6/16/2025,OT,1/1/2026,3/1/2025,,N,PD,WMA,N,,,,,,
1584,HGE Group Study,,Hampden,MA,Holyoke 44P via New 34.5 kV Circuit,,NG,4.0,4.0,4.0,8/13/2024,Withdrawn,1/1/2026,6/13/2025,,,6/16/2025,GT,1/1/2026,1/1/2026,,N,PD,WMA,N,,,,,,
1583,HGE Group Study,,Hampden,MA,Holyoke 17L via 17L16 Circuit,,BAT,4.95,4.95,4.95,8/13/2024,Withdrawn,2/15/2025,6/13/2025,,,6/16/2025,OT,2/15/2025,2/15/2025,,N,PD,WMA,N,,,,,,
1582,Paxton BESS,,Worcester,MA,Paxton Municipal Light Department 13.8KV,,BAT,3.0,3.0,3.0,7/29/2024,Withdrawn,11/25/2024,6/13/2025,,,6/16/2025,OT,12/2/2024,11/25/2024,,Y,PD,SEMA,Y,,,,,,
1581,TMLP Landfill Solar,,Bristol,MA,TMLP Dist Feeder 1841.32 Station 18 13.8kV/115kV,,SUN,2.99,2.99,2.99,7/29/2024,Withdrawn,1/24/2025,6/13/2025,,,6/16/2025,PV,1/25/2025,1/24/2025,,Y,PD,SEMA,Y,,,,,,
1580,RMLD DER Group Study,,Middlesex,MA,RMLD Station 3/NG S145 & T146 Lines,,BAT,9.98,9.98,9.98,7/29/2024,Withdrawn,6/15/2025,6/13/2025,,,6/16/2025,OT,6/16/2025,6/15/2025,,Y,PD,CMA,Y,,,,,,
1579,RMLD DER Group Study,,Middlesex,MA,RMLD Station 4/EE 211-503 & 211-504 Lines,,BAT,4.996,4.996,4.996,7/29/2024,Withdrawn,2/15/2025,6/13/2025,,,6/16/2025,OT,2/16/2025,2/15/2025,,Y,PD,CMA,Y,,,,,,
1578,Solar,,Oxford,ME,CMP 115kV Woodstock Substation,,SUN,20.0,20.0,20.0,6/26/2024,Withdrawn,5/20/2028,8/12/2024,,,8/12/2024,PV,6/6/2028,5/20/2028,CNR,N,PD,ME,N,,,,,,Under Study
1577,Solar,,Knox,ME,CMP 115KV SECTION 80,,SUN,20.0,20.0,20.0,6/26/2024,Withdrawn,5/20/2028,8/12/2024,,,8/12/2024,PV,6/6/2028,5/20/2028,CNR,N,PD,ME,N,,,,,,
1576,Solar,,Cheshire,NH,"Eversource 115kV Section L-163, approximately 2.6 miles north of North Keene Substation.",,SUN,20.0,20.0,20.0,6/26/2024,Withdrawn,5/20/2028,8/12/2024,,,8/12/2024,PV,6/6/2028,5/20/2028,CNR,N,PD,NH,N,,,,,,
1575,Solar,,Oxford,ME,CMP 115kV Woodstock Substation,,SUN,20.0,20.0,20.0,6/26/2024,Withdrawn,5/20/2028,8/12/2024,,,8/12/2024,PV,6/6/2028,5/20/2028,CNR,N,PD,ME,N,,,,,,
1574,Battery Storage,,Merrimack,NH,"EVERSOURCE 115KV SECTION C196, APPROXIMATELY 1.5 MILES SOUTH OF THE MERRIMACK SUBSTATION.",,BAT,20.0,20.0,20.0,6/26/2024,Withdrawn,5/20/2028,8/12/2024,,,8/12/2024,OT,6/6/2028,5/20/2028,CNR,N,PD,NH,N,,,,,,
1573,Solar,,York,ME,"CMP 34.5kV Line 182, located approximately 2.5 miles from the West Buxton Substation.",,SUN,20.0,20.0,20.0,6/26/2024,Withdrawn,5/20/2028,8/12/2024,,,8/12/2024,PV,6/6/2028,5/20/2028,CNR,N,PD,ME,N,,,,,,
1572,Solar,,Windham,VT,Vernon #13 69kV,,SUN,8.084,4.042,4.042,6/24/2024,Withdrawn,6/23/2026,8/6/2024,,,8/6/2024,PV,6/30/2026,6/23/2026,CNR,N,PD,VT,N,,,,,,
1571,Battery Storage,,Worcester,MA,"42.066328, -71.864144 National Grid 69 kV Substation the East Webster 412 substation.",,BAT,19.73,19.73,19.73,6/13/2024,Withdrawn,2/28/2027,10/11/2025,,,10/17/2025,OT,6/30/2027,2/28/2027,CNR,N,PD,CMA,N,,,,,,
