Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,facilityType,Post Generator Interconnection Agreement Status,Interconnection Approval Date,inService,giaToExec,studyCycle,studyGroup,studyPhase,svcType,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,sisPhase1
J4179,,,,,,AMERICAN TRANSMISSION COMPANY,,735.0,735.0,735.0,2025-10-07T20:34:28+00:00,Active,,,,,,,,2030-01-02T05:00:00+00:00,,DPP-2026,East (ATC),,NRIS,0.0,0.0,0.0,0.0,
J4184,,,,,,AMERICAN TRANSMISSION COMPANY,,755.0,755.0,755.0,2025-10-07T20:25:22+00:00,Active,,,,,,,,2030-02-01T05:00:00+00:00,,DPP-2026,East (ATC),,NRIS,0.0,0.0,0.0,0.0,
J4175,,,,,,"ENTERGY LOUISIANA, LLC",,770.0,770.0,770.0,2025-10-07T19:08:44+00:00,Active,,,,,,,,2029-09-01T04:00:00+00:00,,DPP-2026,South,,NRIS,0.0,0.0,0.0,0.0,
J4181,,,,,,MINNESOTA POWER INC.,,755.0,755.0,755.0,2025-10-07T20:21:33+00:00,Withdrawn,,2026-04-28T04:00:00+00:00,,,,,,2030-02-01T05:00:00+00:00,,DPP-2026,West,,NRIS,0.0,0.0,0.0,0.0,
J4146,,,,,,"ENTERGY MISSISSIPPI, LLC.",,0.0,0.0,0.0,2025-09-06T01:17:28+00:00,Active,2028-08-04T04:00:00+00:00,,,,,Not Started,,2028-08-04T04:00:00+00:00,,0MW GIA,NA,,NRIS,0.0,0.0,0.0,0.0,
J4182,,,,,,"ENTERGY ARKANSAS, LLC",,0.0,0.0,0.0,2025-10-08T00:37:52+00:00,Active,,,,,,,,2028-11-01T04:00:00+00:00,,ERAS Study Cycle 2,South,,NRIS,0.0,0.0,0.0,0.0,
J4176,,,,,,"ENTERGY MISSISSIPPI, LLC.",,1750.0,1750.0,1750.0,2025-10-06T23:46:01+00:00,Withdrawn,,2026-01-02T05:00:00+00:00,,,,,,2028-09-01T04:00:00+00:00,,DPP-2025,South,Phase 1,NRIS,0.0,0.0,0.0,0.0,
J4186,,,,,,"ENTERGY LOUISIANA, LLC",,1540.0,1540.0,1540.0,2025-10-07T19:20:31+00:00,Withdrawn,,2026-07-01T04:00:00+00:00,,,,,,2029-09-01T04:00:00+00:00,,DPP-2026,South,,NRIS,0.0,0.0,0.0,0.0,
J4177,,,,,,AMERICAN TRANSMISSION COMPANY,,735.0,735.0,735.0,2025-10-07T23:07:23+00:00,Active,,,,,,,,2030-01-02T05:00:00+00:00,,DPP-2026,East (ATC),,NRIS,0.0,0.0,0.0,0.0,
J4183,,,,,,"ENTERGY MISSISSIPPI, LLC.",,99.9,99.9,99.9,2025-10-07T01:41:17+00:00,Active,,,,,,,,2027-04-28T04:00:00+00:00,,DPP-2025,South,Phase 1,NRIS,23.0,23.0,0.0,0.0,
J4180,,,,,,NORTHERN STATES POWER COMPANY,,755.0,755.0,755.0,2025-10-07T20:00:44+00:00,Active,,,,,,,,2030-01-02T05:00:00+00:00,,DPP-2026,West,,NRIS,0.0,0.0,0.0,0.0,
J3834,,,Gibson,IN,Gibson Sta - Francisco 345.0kV,"DUKE ENERGY INDIANA, LLC CIN",Battery Storage,300.0,300.0,300.0,2024-09-19T04:00:00+00:00,Withdrawn,,2026-04-14T04:00:00+00:00,,,Battery Storage,,,2026-10-01T04:00:00+00:00,,DPP-2025,Central,Phase 1,NRIS,0.0,0.0,0.0,0.0,
J3463,,,Jefferson,MS,LORMAN SS (CE) - FAYETTE 115.0kV,"ENTERGY MISSISSIPPI, LLC. EMTO",Solar,100.0,100.0,100.0,2024-04-18T04:00:00+00:00,Withdrawn,,2025-06-09T04:00:00+00:00,,,Photovoltaic,,,2026-10-01T04:00:00+00:00,,DPP-2023,South,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3485,,,Huron,MI,RAPSON,ITC,Battery Storage,100.0,100.0,100.0,2024-04-16T04:00:00+00:00,Active,,,,,Battery Storage,,,2028-09-15T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,NRIS,100.0,100.0,0.0,0.0,
J3483,,,Champaign,IL,4RANTOUL  - 4RISING   138.0kV,AMEREN ILLINOIS,Wind,137.4,137.4,137.4,2024-04-16T04:00:00+00:00,Withdrawn,,2024-09-03T04:00:00+00:00,,,Wind Turbine,Not Started,,2027-03-01T05:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J4178,,,,,,"ENTERGY LOUISIANA, LLC",,755.0,755.0,755.0,2025-10-07T19:42:02+00:00,Active,,,,,,,,2030-01-02T05:00:00+00:00,,DPP-2026,South,,NRIS,0.0,0.0,0.0,0.0,
J3831,,,Madison,IN,Noblesville (Duke) - Fall Creek (AEP/PJM) 345.0kV,INDIANAPOLIS POWER & LIGHT COMPANY,Hybrid,240.0,215.0,240.0,2024-10-08T04:00:00+00:00,Withdrawn,,2025-12-22T05:00:00+00:00,,,Combustion Turbine (Simple Cycle),,,2029-06-01T04:00:00+00:00,,DPP-2025,Central,Phase 1,NRIS,0.0,0.0,0.0,0.0,
J3832,,,Macomb,MI,Lenox 120kV Substation (Bus #264749),ITC,Battery Storage,200.0,200.0,200.0,2024-07-30T04:00:00+00:00,Withdrawn,,2025-12-22T05:00:00+00:00,,,Battery Storage,,,2028-04-05T04:00:00+00:00,,DPP-2025,East (ITC),Phase 1,NRIS,0.0,0.0,0.0,0.0,
J3486,,,Muskegon,MI,Rogers 138 kV Substation,WOLVERINE POWER SUPPLY COOPERATIVE,Battery Storage,200.0,200.0,200.0,2024-04-15T04:00:00+00:00,Withdrawn,,2025-09-25T04:00:00+00:00,,,Battery Storage,,,2028-06-01T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3833,,,Cass,ND,Buffalo 115 kV,OTTER TAIL POWER COMPANY OTP,Wind,200.0,200.0,200.0,2024-10-01T04:00:00+00:00,Active,,,,,Wind Turbine,,,2028-09-01T04:00:00+00:00,,DPP-2025,West,Phase 1,NRIS,200.0,200.0,0.0,0.0,
J3487,,,Vermillion,IN,CAYUGA 345,"DUKE ENERGY INDIANA, LLC CIN",Solar,400.0,400.0,400.0,2024-04-16T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Photovoltaic,,,2028-09-30T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J4187,,,,,,NORTHERN STATES POWER COMPANY,,755.0,755.0,755.0,2025-10-07T20:12:47+00:00,Active,,,,,,,,2030-01-02T05:00:00+00:00,,DPP-2026,West,,NRIS,0.0,0.0,0.0,0.0,
J4185,,,,,,"ENTERGY LOUISIANA, LLC",,755.0,755.0,755.0,2025-10-07T19:50:56+00:00,Active,,,,,,,,2030-01-02T05:00:00+00:00,,DPP-2026,South,,NRIS,0.0,0.0,0.0,0.0,
J3464,,,Story,IA,Fernald,ITC MIDWEST,Solar,200.0,200.0,200.0,2024-04-16T04:00:00+00:00,Active,,,,,Photovoltaic,,,2028-06-30T04:00:00+00:00,,DPP-2023,West,Study Not Started,NRIS,200.0,0.0,0.0,0.0,
J3462,,,Tama,IA,Dysart - Traer 161kV,ITC MIDWEST,Solar,187.0,187.0,187.0,2024-04-17T04:00:00+00:00,Withdrawn,,2025-06-04T04:00:00+00:00,,,Photovoltaic,,,2028-05-01T04:00:00+00:00,,DPP-2023,West,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3461,,,Muscatine,IA,SUB 56 - SUB 89 161.0kV,MIDAMERICAN ENERGY CO. MEC,Solar,156.0,156.0,156.0,2024-04-17T04:00:00+00:00,Active,,,,,Photovoltaic,,,2028-05-01T04:00:00+00:00,,DPP-2023,West,Study Not Started,NRIS,156.0,156.0,0.0,0.0,
J3490,,,Caldwell,KY,Caldwell County,BIG RIVERS ELECTRIC CORPORATION BREC,Battery Storage,200.0,200.0,200.0,2024-03-21T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Battery Storage,,,2027-09-01T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3491,,,Posey,IN,AB Brown 345 - Gibson (Duke Terminal) 345.0kV,SOUTHERN INDIANA GAS & ELECTRIC COMPANY D/B/A CENTERPOINT ENERGY INDIANA SOUTH,Solar,45.0,45.0,45.0,2024-04-16T04:00:00+00:00,Withdrawn,,2025-04-11T04:00:00+00:00,,,Photovoltaic,,,2028-09-30T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3482,,,McLean,IL,Other_,AMEREN ILLINOIS,Solar,350.0,350.0,350.0,2024-04-16T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Photovoltaic,,,2028-09-30T04:00:00+00:00,,DPP-2023,Central,Study Not Started,ERIS,0.0,0.0,0.0,0.0,
J3484,,,Union,AR,EL DORADO EHV - SAREPTA 345/115 SS 345.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,200.0,200.0,200.0,2024-04-12T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Photovoltaic,,,2027-02-28T05:00:00+00:00,,DPP-2023,South,Study Not Started,ERIS,0.0,0.0,0.0,0.0,
J3488,,,Vermillion,IN,CAYUGA 345,"DUKE ENERGY INDIANA, LLC CIN",Battery Storage,400.0,400.0,400.0,2024-04-16T04:00:00+00:00,Withdrawn,,2025-09-24T04:00:00+00:00,,,Battery Storage,,,2028-09-30T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3493,,,McDonough,IL,Other_,AMEREN TRANSMISSION COMPANY OF ILLINOIS,Wind,200.0,200.0,200.0,2024-04-17T04:00:00+00:00,Active,,,,,Wind Turbine,,,2028-09-15T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,200.0,200.0,0.0,0.0,
J3402,,,Juneau,WI,New J1502 TO Switching Station (Emerson),AMERICAN TRANSMISSION COMPANY,Battery Storage,200.0,200.0,200.0,2024-04-18T04:00:00+00:00,Active,,,,,Battery Storage,,,2028-05-31T04:00:00+00:00,,DPP-2023,East (ATC),Study Not Started,NRIS,200.0,200.0,0.0,0.0,
J3457,,,Arkansas,AR,STUTTGART RICUSKEY - WOODWARD 230 SUB 230.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,215.0,215.0,215.0,2024-04-12T04:00:00+00:00,Active,,,,,Photovoltaic,,,2027-02-28T05:00:00+00:00,,DPP-2023,South,Study Not Started,ERIS,215.0,0.0,0.0,0.0,
J3297,,,St. Clair,IL,Herzog,"ENTERGY MISSISSIPPI, LLC. EMTO",Battery Storage,150.0,150.0,150.0,2024-04-17T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Battery Storage,,,2027-01-31T05:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3298,,,Tazewell,IL,Towerline,AMERICAN TRANSMISSION COMPANY,Battery Storage,200.0,200.0,200.0,2024-04-17T04:00:00+00:00,Active,,,,,Battery Storage,,,2027-01-31T05:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,200.0,200.0,0.0,0.0,
J3492,,,Posey,IN,AB Brown 345 - Gibson (Duke Terminal) 345.0kV,SOUTHERN INDIANA GAS & ELECTRIC COMPANY D/B/A CENTERPOINT ENERGY INDIANA SOUTH,Battery Storage,45.0,45.0,45.0,2024-04-16T04:00:00+00:00,Withdrawn,,2025-04-11T04:00:00+00:00,,,Battery Storage,,,2028-09-30T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3337,,,Stoddard,MO,5VANDUSER,AMEREN MISSOURI,Solar,230.0,230.0,230.0,2024-04-16T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Photovoltaic,,,2028-03-01T05:00:00+00:00,,DPP-2023,Central,Study Not Started,ERIS,0.0,0.0,0.0,0.0,
J3335,,,McLean,IL,Other_,AMEREN ILLINOIS,Wind,222.0,222.0,222.0,2024-04-18T04:00:00+00:00,Withdrawn,,2025-09-30T04:00:00+00:00,,,Wind Turbine,,,2028-10-01T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3334,,,LaPorte,IN,MAPLE,"DUKE ENERGY INDIANA, LLC CIN",Battery Storage,100.0,100.0,100.0,2024-04-05T04:00:00+00:00,Withdrawn,,2025-09-24T04:00:00+00:00,,,Battery Storage,,,2028-06-01T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3802,,,Phillips,AR,RITCHIE SWYD - TARLETON 230.0kV,"ENTERGY ARKANSAS, LLC EATO",Solar,300.0,300.0,300.0,2024-04-17T04:00:00+00:00,Withdrawn,,2025-09-30T04:00:00+00:00,,,Photovoltaic,,,2028-09-04T04:00:00+00:00,,DPP-2023,South,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3776,,,Midland,MI,TittabawASSEe,METC,Battery Storage,150.0,150.0,150.0,2024-04-18T04:00:00+00:00,Active,,,,,Battery Storage,,,2028-09-30T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,NRIS,150.0,150.0,0.0,0.0,
J3372,,,Macoupin,IL,Rezzy,AMEREN ILLINOIS,Battery Storage,100.0,100.0,100.0,2024-04-17T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Battery Storage,,,2028-09-15T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3295,,,Beauregard,LA,Cole - Penton Road 230.0kV,CLECO POWER LLC CLEC,Solar,250.0,250.0,250.0,2024-04-17T04:00:00+00:00,Withdrawn,,2025-12-23T05:00:00+00:00,,,Photovoltaic,,,2027-01-31T05:00:00+00:00,,DPP-2023,South,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3319,,,Webster,LA,SAREPTA 345/115 SS,"ENTERGY LOUISIANA, LLC ELTO",Hybrid,150.0,150.0,150.0,2024-04-15T04:00:00+00:00,Withdrawn,,2025-05-23T04:00:00+00:00,,,Solar/Battery,,,2028-06-01T04:00:00+00:00,,DPP-2023,South,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3336,,,Tuscola,MI,RINGLE,ITC,Wind,41.8,41.8,41.8,2024-04-05T04:00:00+00:00,Active,,,,,Wind Turbine,,,2027-04-01T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,NRIS,41.8,41.8,0.0,0.0,
J3777,,,Cheboygan,MI,MC GULPIN - RIGGSVILLE (MILL CREEK) 138.0kV,METC,Solar,91.8,91.8,91.8,2024-04-12T04:00:00+00:00,Active,,,,,Photovoltaic,,,2028-04-01T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,NRIS,91.8,91.8,0.0,0.0,
J3779,,,Henderson,KY,AB Brown 345 - Reid EHV (BREC Terminal) 345.0kV,SOUTHERN INDIANA GAS & ELECTRIC COMPANY D/B/A CENTERPOINT ENERGY INDIANA SOUTH,Wind,100.0,100.0,100.0,2024-04-17T04:00:00+00:00,Withdrawn,,2025-08-13T04:00:00+00:00,,,Wind Turbine,,,2026-10-15T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3296,,,Hamilton,IL,Hamilton,Southern Illinois Power Cooperative,Battery Storage,200.0,200.0,200.0,2024-04-17T04:00:00+00:00,Active,,,,,Battery Storage,,,2027-01-31T05:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,202.19,202.19,0.0,0.0,
J3792,,,Gratiot,MI,ALMA - VESTABURG 138.0kV,METC,Solar,125.0,125.0,125.0,2024-04-18T04:00:00+00:00,Active,,,,,Photovoltaic,,,2028-04-01T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,ERIS,125.0,0.0,0.0,0.0,
J3795,,,Knox,MO,7FABIUS - 7MAYWOOD 345.0kV,AMEREN TRANSMISSION COMPANY OF ILLINOIS,Hybrid,91.0,91.0,91.0,2024-04-18T04:00:00+00:00,Withdrawn,,2025-09-25T04:00:00+00:00,,,Solar/Battery,,,2028-01-01T05:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,0.0,0.0,0.0,0.0,
J3797,,,Edgar,IL,7KANSAS   - 08SUGCRK 345.0kV,"DUKE ENERGY INDIANA, LLC CIN",Solar,141.23,141.23,141.23,2024-04-18T04:00:00+00:00,Active,,,,,Photovoltaic,,,2028-03-31T04:00:00+00:00,,DPP-2023,Central,Study Not Started,NRIS,141.23,109.8,0.0,0.0,
J3400,,,Deuel,SD,Astoria 345kV substation,OTTER TAIL POWER COMPANY OTP,Hybrid,142.2,142.2,142.2,2024-03-20T04:00:00+00:00,Active,,,,,"Piston (Engine), Internal Combustion (Diesel)",,,2028-04-19T04:00:00+00:00,,DPP-2023,West,Study Not Started,NRIS,142.2,142.2,0.0,0.0,
J3407,,,Manistee,MI,LINDEMAN - TIPPY 138.0kV,METC,Gas,300.0,300.0,300.0,2024-04-11T04:00:00+00:00,Withdrawn,,2026-01-05T05:00:00+00:00,,,Combustion Turbine (Simple Cycle),,,2028-10-31T04:00:00+00:00,,DPP-2023,East (ITC),Study Not Started,NRIS,300.0,300.0,0.0,0.0,
