Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,Proposed In-Service Date,Proposed Initial-Sync Date,Last Updated Date,Z,S,Availability of Studies,SGIA Tender Date
0276,Homer Solar Energy Center,,Cortland,NY,Cortland - Fenner 115kV,NM-NG,Solar,90.0,90.0,90.0,2008-01-30,Active,2028-06-01,,,,,,2026-05-31 00:00:00,,,"FES, SRIS, FS",
0495,Mohawk Solar,,Montgomery,NY,St. Johnsville - Marshville 115kV,NM-NG,Solar,90.5,90.5,90.5,2015-04-02,Active,2027-11-01,,,,,,2025-09-30 00:00:00,,,"FES, SRIS, FS",
0519,Canisteo Wind,,Steuben,NY,Bennett 115kV,NYSEG,Wind,290.7,290.7,290.7,2015-11-02,Active,2028-05-01,,,,,,2025-03-31 00:00:00,,,"FES, SRIS, FS",
0522,NYC Energy,,Kings,NY,Hudson Avenue East 138kV,ConEd,Energy Storage,79.9,79.9,79.9,2015-12-16,Active,2027-06-01,,,,,,2026-06-30 00:00:00,,,"FES, SRIS, FS",
0535,Riverhead Solar 2,,Suffolk,NY,Edwards 138kV,LIPA,Solar,36.0,36.0,36.0,2016-02-23,Active,2028-01-01,,,,,,2024-09-30 00:00:00,,,"FES, SRIS, FS",
0564,Rock District Solar,,Schoharie,NY,Sharon - Cobleskill 69kV,NM-NG,Solar,20.0,20.0,20.0,2016-07-25,Active,2027-02-01,,,,,,2026-06-30 00:00:00,,,"SIS, FS",
0571,Heritage Wind,,Genesee,NY,Lockport - Mortimer 115kV,NM-NG,Wind,126.0,126.0,126.0,2016-09-01,Active,2027-10-01,,,,,,2025-09-30 00:00:00,,,"FES, SRIS, FS",
0572,Greene County 1,,Greene,NY,Coxsackie - North Catskill 69kV,CHG&E,Solar,20.0,20.0,20.0,2016-09-06,Active,2027-06-01,,,,,,2025-05-31 00:00:00,,,"SIS, FS",
0573,Greene County 2,,Greene,NY,Coxsackie 13.8kV,CHG&E,Solar,10.0,10.0,10.0,2016-09-06,Active,2027-06-01,,,,,,2025-05-31 00:00:00,,,"SIS, FS",
0575,Little Pond Solar,,Orange,NY,Mongaup - Shoemaker 69kV,O&R,Solar,20.0,20.0,20.0,2016-09-16,Active,2027-09-01,,,,,,2026-06-30 00:00:00,,,"FES, SIS, FS",
