Queue ID,Project Name,Interconnecting Entity,County,State,Interconnection Location,Transmission Owner,Generation Type,Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Queue Date,Status,Proposed Completion Date,Withdrawn Date,Withdrawal Comment,Actual Completion Date,In-Service Date,Commercial Operation Date,Cessation Date,Current Cluster,Cluster Group,Service Type,Status (Original)
TI-18-0827,,,Weld County,CO,Redtail 115  Substation,TSGT,Wind - Wind,145.0,145.0,145.0,8/27/2018,Completed,,,,,6/24/2022,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
TI-17-0224,,,Kit Carson/Cheyenne Counties,CO,Windtalker 230 Switching Station,TSGT,Wind - Wind,104.0,104.0,104.0,2/24/2017,Completed,,,,,9/2/2020,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
TI-12-0217,,,Ouray County,CO,Cow Creek 115 Switching Station,TSGT,Solar - Photovoltaic,7.2,7.2,7.2,2/17/2012,Completed,,,,,11/1/2013,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
TI-08-0502,,,Kit Carson County,CO,Landsman Creek 230 SwitchingStation,TSGT,Wind - Wind,51.0,51.0,51.0,5/2/2008,Completed,,,,,10/15/2010,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
TI-08-0204,,,Kit Carson County,CO,Burlington 230  Bus,TSGT,Wind - Wind,150.0,150.0,150.0,2/4/2008,Completed,,,,,11/30/2015,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GI-TC-2024-31,,,Elbert County,CO,Lincoln - Midway 230  Line,TSGT,Hybrid - Solar/Storage,398.0,398.0,398.0,5/29/2024,Completed,12/31/2028,,,,10/1/2027,12/31/2028,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-30,,,Morgan County,CO,Story 230 Substation,TSGT,Hybrid - Solar/Storage,199.9,199.9,199.9,5/29/2024,Completed,,,,,3/1/2028,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-29,,,Kit Carson County,CO,Landsman Creek-Windtalker 230Line,TSGT,Wind - Wind,170.0,170.0,170.0,5/29/2024,,10/1/2028,,,,9/15/2027,10/1/2028,,RTOE Transitional Cluster,,ER/NR,FACILITY STUDY STAGE
GI-TC-2024-28,,,Weld County,CO,Lloyd Sisson 115  Substation,TSGT,Solar - Photovoltaic,222.3,222.3,222.3,5/31/2023,,12/31/2027,,,,6/2/2031,12/31/2027,,RTOE Transitional Cluster,,ER/NR,FACILITY STUDY STAGE
GI-TC-2024-26,,,Elbert County,CO,Lincoln – Midway 230  Line,TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,5/31/2023,Completed,8/17/2027,,,,1/1/2028,8/17/2027,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-25,,,Weld County,CO,"Ault - Laramie River Station 345
Line",TSGT,Wind - Wind,350.0,350.0,350.0,5/28/2024,,12/1/2028,,,,6/2/2031,12/1/2028,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-22,,,Weld County,CO,Lloyd Sisson 115  Substation,TSGT,Solar - Photovoltaic,140.0,140.0,140.0,5/23/2024,,3/1/2028,,,,6/2/2031,3/1/2028,,RTOE Transitional Cluster,,ER/NR,FACILITY STUDY STAGE
GI-TC-2024-21,,,Montezuma County,CO,East Cortez 115 Substation,TSGT,Hybrid - Solar/Storage,125.0,125.0,125.0,5/24/2024,Completed,12/31/2028,,,,7/2/2030,12/31/2028,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-20,,,Lincoln County,CO,Big Sandy 230 Substation,TSGT,Solar - Photovoltaic,250.0,250.0,250.0,5/29/2024,,7/1/2027,,,,9/2/2030,7/1/2027,,RTOE Transitional Cluster,,ER/NR,FACILITY STUDY STAGE
GI-TC-2024-19,,,Montrose County,CO,Montrose 115 Substation,TSGT,Battery/Storage,100.0,100.0,100.0,5/7/2024,Completed,,,,,5/3/2027,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-18,,,Montezuma County,CO,Lost Canyon 115 Substation,TSGT,Battery/Storage,100.0,100.0,100.0,5/29/2024,,5/31/2027,,,,8/2/2029,5/31/2027,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-17,,,Kit Carson County,CO,Burlington-Wray 230 Line,TSGT,Solar - Photovoltaic,225.0,225.0,225.0,5/29/2024,Completed,1/1/2030,,,,7/2/2030,1/1/2030,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-16,,,Laramie County,WY,Ault-Laramie River Station 345 Line,TSGT,Wind - Wind,400.0,400.0,400.0,5/16/2023,Completed,,,,,6/30/2029,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-15,,,Laramie County,WY,Big Bear 345 Switching Station,TSGT,Wind - Wind,250.0,250.0,250.0,5/23/2024,Completed,,,,,9/30/2029,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-14,,,Weld County,CO,Greenhouse 230 Substation,TSGT,Solar - Photovoltaic,206.01,206.01,206.01,5/31/2023,,12/31/2028,,,,4/2/2031,12/31/2028,,RTOE Transitional Cluster,,ER/NR,FACILITY STUDY STAGE
GI-TC-2024-12,,,Yuma County,CO,Burlington-Wray 230 Line,TSGT,Wind - Wind,170.0,170.0,170.0,5/21/2024,Completed,10/31/2027,,,,3/1/2027,10/31/2027,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-11,,,Kit Carson County,CO,Looff 230 Substation (BurlingtonExpansion),TSGT,Wind - Wind,166.6,166.6,166.6,5/29/2024,Completed,,,,,12/31/2027,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-10,,,Kit Carson County,CO,Burlington 230 Substation,TSGT,Solar - Photovoltaic,199.0,199.0,199.0,5/23/2024,,12/29/2028,,,,3/5/2026,12/29/2028,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-09,,,Yuma County,CO,North Yuma 230 Substation,TSGT,Solar - Photovoltaic,199.0,199.0,199.0,5/26/2023,,12/31/2026,,,,12/5/2028,12/31/2026,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-08,,,Kit Carson County,CO,Looff 230 Substation (BurlingtonExpansion),TSGT,Wind - Wind,150.0,150.0,150.0,5/26/2023,Completed,,,,,12/31/2027,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-07,,,Cheyenne County,CO,Burlington - Lamar 230  Line,TSGT,Solar - Photovoltaic,199.0,199.0,199.0,5/22/2023,,12/31/2028,,,,11/1/2026,12/31/2028,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-06,,,Platte County,WY,LRS-Wayne Child 345 Line,TSGT,Wind - Wind,150.0,150.0,150.0,5/22/2023,,10/1/2026,,,,12/1/2027,10/1/2026,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-05,,,Platte County,WY,LRS-Wayne Child 345 Line,TSGT,Wind - Wind,150.0,150.0,150.0,5/22/2023,,10/1/2026,,,,12/1/2027,10/1/2026,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-04,,,Platte County,WY,LRS-Wayne Child 345 Line,TSGT,Wind - Wind,150.0,150.0,150.0,5/22/2023,,10/1/2026,,,,12/1/2027,10/1/2026,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-03,,,Platte/Goshen Counties,WY,Monolith 115 Substation,TSGT,Solar - Photovoltaic,160.0,160.0,160.0,5/8/2023,,12/28/2028,,,,10/2/2029,12/28/2028,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-TC-2024-02,,,Lincoln County,CO,Lincoln 230 Substation,TSGT,Hybrid - Solar/Storage,150.0,150.0,150.0,4/25/2024,Completed,6/30/2028,,,,8/2/2030,6/30/2028,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2024-01,,,Lincoln County,CO,Lincoln 230 Substation,TSGT,Hybrid - Solar/Storage,150.0,150.0,150.0,4/25/2024,Completed,6/30/2027,,,,8/2/2030,6/30/2027,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-TC-2021-07,,,Delta County,CO,Garnet Mesa 115 Substation,TSGT,Solar - Photovoltaic,80.0,80.0,80.0,3/15/2021,Completed,,,,,5/1/2024,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GI-TC-2021-06,,,Logan County,CO,North Yuma 230 Substation,TSGT,Wind - Wind,200.0,200.0,200.0,3/15/2021,Completed,,,,,10/29/2021,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GI-TC-2021-03,,,Dolores County,CO,Cahone 115 Substation,TSGT,Solar - Photovoltaic,110.0,110.0,110.0,3/15/2021,Completed,,,,,6/14/2024,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GI-TC-2021-01,,,Moffat & Rio Blanco Counties,CO,Milk Creek 345Switching Station,TSGT,Solar - Photovoltaic,145.0,145.0,145.0,3/15/2021,Completed,,,,,6/30/2024,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/COMMERCIAL OPERATION
GI-SISS-2026-04,,,"Kit Carson County,",CO,Looff 230 Substation (BurlingtonExpansion),TSGT,Battery/Storage,150.0,150.0,150.0,2/9/2026,Withdrawn,6/1/2028,,,,1/3/2028,6/1/2028,,RTOE Transitional Cluster,,ER,WITHDRAWN
GI-SISS-2026-03,,,"Kit Carson County,",CO,Looff 230 Substation (BurlingtonExpansion),TSGT,Battery/Storage,150.0,150.0,150.0,2/9/2026,Withdrawn,6/1/2028,,,,1/3/2028,6/1/2028,,RTOE Transitional Cluster,,ER,WITHDRAWN
GI-SISS-2025-06,,,Logan County,CO,North Yuma 230 Substation,TSGT,Battery/Storage,200.0,200.0,200.0,10/2/2025,Completed,9/30/2027,,,,,9/30/2027,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-SISS-2025-05,,,Kit Carson County,CO,Burlington 230 Substation,TSGT,Battery/Storage,150.0,150.0,150.0,8/8/2025,Completed,9/30/2027,,,,,9/30/2027,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-SISS-2025-04,,,Kit Carson County,CO,South Fork 115 Substation,TSGT,Battery/Storage,79.0,79.0,79.0,7/25/2025,Completed,,,,,9/30/2027,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-RSC-2025-03,,,Montrose County,CO,Montrose 115 Sub,TSGT,Battery/Storage,50.0,50.0,50.0,7/18/2025,Completed,11/30/2027,,,,,11/30/2027,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-RSC-2025-02,,,Moffat County,CO,Craig 230 Sub,TSGT,Battery/Storage,200.0,200.0,200.0,7/18/2025,Completed,9/1/2029,,,,,9/1/2029,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-DISIS-2022-44,,,Moffat County,CO,Craig 345 Substation,TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,5/31/2022,Completed,,,,,6/25/2030,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SUSPENSION
GI-DISIS-2022-41,,,Kit Carson County,CO,Bonny Creek 115 Substation,TSGT,Wind - Wind,49.6,49.6,49.6,5/31/2022,Completed,,,,,12/30/2028,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SUSPENSION
GI-DISIS-2022-29,,,Lincoln County,CO,Duck Creek 230 Switching Station,TSGT,Wind - Wind,199.9,199.9,199.9,5/31/2022,Completed,,,,,3/16/2029,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-DISIS-2022-28,,,Kit Carson County,CO,Many Trails 230 Switching Station,TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,5/31/2022,Completed,,,,,12/31/2029,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SUSPENSION
GI-DISIS-2022-22,,,Kit Carson County,CO,Devils Switch 115 Switching Station,TSGT,Hybrid - Solar/Storage,90.0,30.0,30.0,5/27/2022,Completed,,,,,10/1/2028,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-DISIS-2022-17,,,Kiowa County/Prowers County,CO,Towner 230 Switching Station,TSGT,Wind - Wind,199.0,199.0,199.0,5/27/2022,Completed,,,,,5/1/2030,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SUSPENSION
GI-DISIS-2022-07,,,Weld County,CO,"West Sand Creek 230 Switching
Station",TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,5/24/2022,Completed,,,,,2/27/2029,,,RTOE Transitional Cluster,,ER/NR,IA FULLY EXECUTED/ON SCHEDULE
GI-DISIS-2022-04,,,Kit Carson County,CO,South Fork 115 Substation,TSGT,Hybrid - Solar/Storage,158.0,158.0,158.0,5/9/2022,Completed,,,,,6/29/2027,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-DISIS-2022-02,,,Weld County,CO,Keota 345 Substation,TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,5/5/2022,Completed,,,,,4/1/2030,,,RTOE Transitional Cluster,,ER,IA FULLY EXECUTED/ON SCHEDULE
GI-DISIS-2021-10,,,Converse County,WY,Hunton Creek 230 Switching Station,TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,5/28/2021,Withdrawn,1/5/2028,,,,9/5/2027,1/5/2028,,RTOE Transitional Cluster,,ER/NR,WITHDRAWN
GI-CS-2025-29,,,"Yuma County,",CO,Burlington - Wray 230 Line,TSGT,Hybrid - Solar/Wind/Storage,300.0,300.0,300.0,10/6/2025,,8/1/2031,,,,,8/1/2031,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-27,,,"Delta County,",CO,Starr Nelson 115 Substation,TSGT,Thermal - Gas,199.0,199.0,199.0,10/3/2025,Withdrawn,4/1/2029,,,,,4/1/2029,,RTOE Transitional Cluster,,ER/NR,WITHDRAWN
GI-CS-2025-26,,,"Kit Carson County,",CO,Windtalker 230 Substation,TSGT,Wind - Wind,199.0,199.0,199.0,10/2/2025,,6/30/2029,,,,,6/30/2029,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-25,,,"Platte County,",WY,Laramie River 345 Substation,TSGT,Hybrid - Solar/Storage,800.0,800.0,800.0,10/2/2025,,12/1/2030,,,,,12/1/2030,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-24,,,"Kit Carson County,",CO,Big Sandy - Windtalker 230 Line,TSGT,Wind - Wind,225.0,225.0,225.0,9/29/2025,,12/1/2029,,,,,12/1/2029,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-20,,,"Morgan County,",CO,Story 230 Substation,TSGT,Hybrid - Solar/Storage,199.9,199.9,199.9,9/29/2025,,12/1/2029,,,,,12/1/2029,,RTOE Transitional Cluster,,NR,FACILITY STUDY STAGE
GI-CS-2025-19,,,"Morgan County,",CO,Story 230 Substation,TSGT,Hybrid - Solar/Storage,199.9,199.9,199.9,9/29/2025,,12/1/2029,,,,,12/1/2029,,RTOE Transitional Cluster,,NR,FACILITY STUDY STAGE
GI-CS-2025-17,,,"Moffat County,",CO,Craig - Meeker 345 Line,TSGT,Hybrid - Solar/Storage,199.5,199.5,199.5,9/26/2025,Withdrawn,6/1/2029,,,,,6/1/2029,,RTOE Transitional Cluster,,ER/NR,WITHDRAWN
GI-CS-2025-16,,,"Weld County,",CO,Henry Lake - Badger Creek 230 Line,TSGT,Hybrid - Solar/Storage,150.0,150.0,150.0,9/26/2025,,6/1/2029,,,,,6/1/2029,,RTOE Transitional Cluster,,NR,FACILITY STUDY STAGE
GI-CS-2025-11,,,"Lincoln County,",CO,Big Sandy 230 Substation,TSGT,Wind - Wind,199.0,199.0,199.0,9/19/2025,,12/1/2028,,,,,12/1/2028,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-08,,,"Kit Carson,",CO,Looff 230 Substation (Burlington Expansion),TSGT,Wind - Wind,199.0,199.0,199.0,9/18/2025,,12/1/2029,,,,,12/1/2029,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-07,,,"Kit Carson,",CO,Looff 230 Substation (Burlington Expansion),TSGT,Wind - Wind,199.0,199.0,199.0,9/18/2025,,12/1/2029,,,,,12/1/2029,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-05,,,"Weld County,",CO,Redtail 115 Substation,TSGT,Solar - Photovoltaic,300.0,300.0,300.0,9/18/2025,,12/1/2029,,,,,12/1/2029,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-04,,,"Laramie County,",WY,Ault LRS 345 Line,TSGT,Hybrid - Wind/Storage,330.0,330.0,330.0,9/17/2025,,11/30/2029,,,,,11/30/2029,,RTOE Transitional Cluster,,NR,FACILITY STUDY STAGE
GI-CS-2025-03,,,"Kit Carson,",CO,230 Windtalker Switching Station,TSGT,Hybrid - Solar/Storage,300.0,300.0,300.0,9/16/2025,,4/1/2028,,,,,4/1/2028,,RTOE Transitional Cluster,,ER,FACILITY STUDY STAGE
GI-CS-2025-02,,,"Adams County,",CO,230 West Sand Creek Switching Station,TSGT,Hybrid - Solar/Storage,199.0,199.0,199.0,9/11/2025,,6/1/2031,,,,,6/1/2031,,RTOE Transitional Cluster,,NR,FACILITY STUDY STAGE
GEN-2026-SR9,,,Wright,KS,Spearville to Clark County 345 kV line,ITCGP,Battery/Storage,252.0,252.0,252.0,12/18/2025,Active,12/1/2027,,,,,12/1/2027,,Surplus,03 CENTRAL,ER,IA PENDING
GEN-2026-SR8,,,Elgin,OK,Cimmarron to Lawton 345 kV Line,AEP,Battery/Storage,500.0,500.0,500.0,2/5/2026,,11/30/2028,,,,,11/30/2028,,Surplus,04 SOUTHEAST,ER/NR,SPECIAL STUDY
GEN-2026-SR7,,,South Heart,ND,Daglum 230kV Switching Station,BEPC,Battery/Storage,150.0,150.0,150.0,1/21/2026,,12/31/2028,,,,,12/31/2028,,Surplus,01 NORTH,ER,FACILITY STUDY STAGE
GEN-2026-SR6,,,South Heart,ND,Daglum 230kV Switching Station,BEPC,Battery/Storage,150.0,150.0,150.0,1/22/2026,,12/31/2028,,,,,12/31/2028,,Surplus,01 NORTH,ER,FACILITY STUDY STAGE
GEN-2026-SR5,,,Wellington,KS,Sumner 138kV,WERE,Battery/Storage,200.0,200.0,200.0,1/20/2026,,12/1/2027,,,,,12/1/2027,,Surplus,03 CENTRAL,ER/NR,SPECIAL STUDY
GEN-2026-SR4,,,Oktaha,OK,Canadian River-Muskogee and Muskogee-Seminole 345kV,OG&E,Battery/Storage,400.0,400.0,400.0,11/17/2025,,12/31/2027,,,,,12/31/2027,,Surplus,04 SOUTHEAST,ER,SPECIAL STUDY
GEN-2026-SR33,,,Oliver County,ND,Basin Electric 230 kV,BEPC,Battery/Storage,202.0,202.0,202.0,7/23/2026,,12/3/2029,,,,,12/3/2029,,Surplus,01 NORTH,ER/NR,SPECIAL STUDY
GEN-2026-SR32,,,Saint Joseph,MO,Nashua-St. Joe 345kV,KCPL,Battery/Storage,400.0,400.0,400.0,7/23/2026,,12/31/2028,,,,,12/31/2028,,Surplus,03 CENTRAL,ER/NR,SPECIAL STUDY
GEN-2026-SR31,,,Saint Joseph,MO,Nashua-St. Joe 345kV,KCPL,Battery/Storage,400.0,400.0,400.0,7/23/2026,,12/31/2028,,,,,12/31/2028,,Surplus,03 CENTRAL,ER/NR,SPECIAL STUDY
GEN-2026-SR30,,,Thomas County,KS,Holcomb 345kV,SUNC,Battery/Storage,504.0,504.0,504.0,6/4/2026,,9/13/2030,,,,,9/13/2030,,Surplus,03 CENTRAL,ER,SPECIAL STUDY
GEN-2026-SR3,,,Sayre,OK,Sweetwater 230kV,AEP,Battery/Storage,100.0,100.0,100.0,1/14/2026,,5/14/2027,,,,,5/14/2027,,Surplus,04 SOUTHEAST,ER,FACILITY STUDY STAGE
GEN-2026-SR29,,,Thomas County,KS,Mingo 115kV,SUNC,Battery/Storage,196.56,196.56,196.56,6/4/2026,,10/1/2029,,,,,10/1/2029,,Surplus,03 CENTRAL,ER,SPECIAL STUDY
GEN-2026-SR28,,,Dodge City,KS,Clark County-Ironwood 345kV,SUNC,Battery/Storage,297.6,297.6,297.6,6/4/2026,,1/30/2029,,,,,1/30/2029,,Surplus,03 CENTRAL,ER,SPECIAL STUDY
GEN-2026-SR27,,,Muskogee,OK,Pecan Creek 345kV Substation,OGE,Battery/Storage,300.0,300.0,300.0,6/26/2026,,6/15/2028,,,,,6/15/2028,,Surplus,04 SOUTHEAST,ER,SPECIAL STUDY
GEN-2026-SR26,,,Burlington,CO,Looff 230 kV,TRI STATE,Battery/Storage,150.0,150.0,150.0,6/4/2026,,6/1/2028,,,,,6/1/2028,,Surplus,,ER,SPECIAL STUDY
GEN-2026-SR25,,,Burlington,CO,Looff 230 kV ,TRI STATE,Battery/Storage,150.0,150.0,150.0,6/4/2026,,6/1/2028,,,,,6/1/2028,,Surplus,,ER,SPECIAL STUDY
GEN-2026-SR24,,,Barber,KS,Thistle 345kV Substation,ITCGP,Battery/Storage,120.0,120.0,120.0,6/18/2026,,9/15/2028,,,,,9/15/2028,,Surplus,03 CENTRAL,ER,SPECIAL STUDY
GEN-2026-SR23,,,Johnston,OK,Bison 345kV Substation,OGE,Battery/Storage,200.0,200.0,200.0,6/22/2026,,9/30/2028,,,,,9/30/2028,,Surplus,04 SOUTHEAST,ER/NR,SPECIAL STUDY
